Date,Open_Interest,Producer_Longs,Producer_Shorts,Swap_Dealer_Longs,Swap_Dealer_Shorts,Swap_Dealer_Spreads,Money_Manager_Longs,Money_Manager_Shorts,Money_Manager_Spreads,Other_Reportable_Longs,Other_Reportable_Shorts,Other Reportable Spreads,Total_Reportable_Longs,Total_Reportable_Shorts,Non_Reportable_Longs,Non_Reportable_Shorts
2006-06-13T00:00:00Z,155287,77701,95595,11285,925,6408,30813,31436,968,6790,1317,11012,144978,147661,10309,7626
2006-06-20T00:00:00Z,142912,65733,90905,11387,447,7353,32342,27208,764,6170,1422,9377,133126,137476,9785,5436
2006-06-27T00:00:00Z,140852,63084,90774,11275,384,7121,31871,23787,1380,5883,1498,8742,129356,133686,11496,7166
2006-07-03T00:00:00Z,145277,59803,100288,10962,546,7736,35403,13648,3130,5526,3059,8966,131526,137373,13752,7904
2006-07-11T00:00:00Z,174984,62526,126550,9980,2072,8480,55805,5758,4151,6215,5755,13061,160218,165827,14766,9157
2006-07-18T00:00:00Z,172248,62269,121905,10564,2076,9005,50021,4913,3656,4370,5040,17388,157275,163985,14974,8264
2006-07-25T00:00:00Z,159118,62580,113069,12002,1551,9119,39004,6084,3695,4088,3953,15513,146000,152984,13118,6135
2006-08-01T00:00:00Z,156689,64508,109027,12512,1400,8624,37310,10080,2475,3803,3003,14117,143348,148726,13342,7963
2006-08-08T00:00:00Z,150100,61763,106369,11545,1313,9141,39612,12416,1441,3551,2274,9917,136968,142870,13132,7230
2006-08-15T00:00:00Z,141506,53617,99654,11436,1364,9519,42001,12305,1826,3787,2040,8275,130461,134982,11045,6523
2006-08-22T00:00:00Z,138472,54663,96475,11845,1702,8101,39347,14134,1790,3921,1815,8651,128319,132668,10153,5804
2006-08-29T00:00:00Z,139048,65272,90684,12635,1660,7094,27155,20243,1769,4452,1567,8621,126998,131639,12050,7409
2006-09-05T00:00:00Z,143552,70627,92650,12644,1585,6974,27984,23097,963,3849,1631,8366,131406,135267,12145,8285
2006-09-12T00:00:00Z,148109,74985,94977,12197,1586,7387,27562,24359,1012,3596,1394,8651,135390,139365,12719,8744
2006-09-19T00:00:00Z,156761,85003,95576,12403,766,5628,24875,31928,1206,4083,1511,10848,144044,147462,12716,9299
2006-09-26T00:00:00Z,150960,82792,98917,11919,766,5568,23521,22886,1645,4049,1984,9653,139147,141419,11813,9541
2006-10-03T00:00:00Z,157869,84171,97623,12506,755,5108,23885,27676,2221,4481,1853,10589,142961,145826,14908,12043
2006-10-10T00:00:00Z,157060,85585,97516,13044,756,4850,24421,30167,1286,3915,2263,10400,143501,147238,13558,9822
2006-10-17T00:00:00Z,168384,91621,97251,14289,766,4083,24656,41326,1191,4880,2213,12311,153030,159141,15353,9243
2006-10-24T00:00:00Z,173480,93096,97752,14225,754,2717,27816,44485,1553,4900,2704,13768,158075,163733,15406,9748
2006-10-31T00:00:00Z,166240,85406,97356,14378,759,2793,28688,37011,2113,4386,2630,14495,152259,157157,13980,9082
2006-11-07T00:00:00Z,151991,75012,94663,13475,825,4970,29910,29432,2207,4055,2768,9134,138762,143999,13229,7992
2006-11-14T00:00:00Z,133286,63687,85720,11599,1883,4282,31656,21914,886,2624,2779,7724,122459,125189,10827,8096
2006-11-21T00:00:00Z,136439,65728,84756,11908,1891,6891,30254,24646,403,2759,2738,7816,125758,129141,10681,7298
2006-11-28T00:00:00Z,139535,68575,85324,11657,1524,6891,30465,27983,486,2879,3345,7309,128262,132863,11274,6673
2006-12-05T00:00:00Z,144167,66686,91646,11187,1719,7131,34317,22035,1235,3365,5263,7521,131443,136550,12725,7618
2006-12-12T00:00:00Z,148243,64339,106284,11261,1975,7155,37453,7779,1682,3557,5532,9535,134982,139943,13260,8300
2006-12-19T00:00:00Z,157500,63791,112660,10898,1937,7231,44521,7581,1998,3664,5875,11494,143598,148776,13902,8724
2006-12-26T00:00:00Z,155390,63340,112354,10760,1856,7231,44369,7503,1926,3537,6070,10662,141824,147601,13566,7790
2007-01-03T00:00:00Z,162595,62815,118785,10666,1830,7340,48162,6138,2181,4381,6673,12005,147549,154952,15046,7643
2007-01-09T00:00:00Z,158797,64861,118579,11342,1407,6998,45167,6866,1059,3736,5111,10183,143348,150203,15449,8594
2007-01-16T00:00:00Z,154572,64355,112820,11337,3620,7089,42563,7074,1515,4307,5516,10321,141487,147955,13085,6617
2007-01-23T00:00:00Z,152872,63410,108766,11384,2829,7772,41925,10346,1357,4768,5794,10559,141175,147423,11697,5449
2007-01-30T00:00:00Z,149852,61856,104318,11476,4700,6850,41745,10343,1391,5113,5996,10656,139087,144254,10765,5599
2007-02-06T00:00:00Z,150971,55530,103780,11013,5241,7190,46508,8418,1965,4367,5938,8554,135127,141085,15844,9886
2007-02-13T00:00:00Z,150823,53184,110211,11605,5699,5504,56000,7093,1841,3268,7021,7256,138658,144626,12165,6198
2007-02-20T00:00:00Z,170394,56285,115344,11881,6202,5585,61018,10553,8142,4098,6893,9590,156599,162308,13795,8085
2007-02-27T00:00:00Z,171374,56321,114585,11894,7582,5570,58199,8461,9982,4774,6825,10346,157085,163349,14288,8025
2007-03-06T00:00:00Z,178041,58502,119097,14925,9433,5633,58450,7425,10399,4718,6189,11928,164555,170105,13486,7936
2007-03-13T00:00:00Z,182728,61595,120325,14997,9946,5408,58859,9233,10921,4520,6746,12342,168642,174921,14086,7807
2007-03-20T00:00:00Z,187281,59671,121598,15648,9527,5486,60696,7544,12679,4172,8549,14140,172492,179523,14789,7758
2007-03-27T00:00:00Z,194640,59319,124158,15713,9583,5491,66331,8064,13048,3930,9009,16744,180576,186097,14064,8543
2007-04-03T00:00:00Z,185697,58728,118943,15127,9876,4145,58484,6250,14407,3703,7444,16616,171209,177682,14488,8015
2007-04-10T00:00:00Z,173714,57572,116019,14012,9999,4189,58622,6795,10067,3748,7564,11443,159654,166075,14061,7639
2007-04-17T00:00:00Z,165529,52335,110454,13187,9800,5502,60218,6584,9091,3352,8808,9720,153404,159959,12124,5570
2007-04-24T00:00:00Z,158873,53730,106750,12035,11025,4350,53391,6734,10055,4265,6127,9464,147291,154506,11582,4367
2007-05-01T00:00:00Z,160187,55041,103666,12292,12122,3955,50468,5794,12852,3455,6437,10354,148417,155180,11770,5007
2007-05-08T00:00:00Z,161321,54466,102531,13238,11873,3714,50621,6528,13411,3210,6642,10852,149512,155550,11809,5771
2007-05-15T00:00:00Z,167347,58998,104486,13236,11455,3700,52396,10652,12170,3288,6856,11919,155707,161238,11640,6110
2007-05-22T00:00:00Z,169463,48048,89747,13149,17761,13157,53503,10487,12429,4033,7489,12747,157066,163818,12396,5645
2007-05-29T00:00:00Z,169651,46308,90698,13072,17728,13376,54985,10763,11661,4670,6727,13253,157326,164207,12325,5444
2007-06-05T00:00:00Z,161221,48936,90785,12526,17629,13148,49007,8090,11728,4997,6459,10094,150436,157933,10785,3288
2007-06-12T00:00:00Z,153458,44213,83778,11969,16079,11608,48024,8720,10102,4235,6768,10262,140413,147317,13044,6141
2007-06-19T00:00:00Z,153631,46748,90678,12307,15419,12041,52862,8444,4350,3247,7535,10494,142049,148961,11582,4670
2007-06-26T00:00:00Z,166098,49047,97948,12958,15668,13300,56619,8395,4213,3861,8580,12003,152001,160107,14097,5990
2007-07-03T00:00:00Z,180839,47593,107430,13255,15524,14566,69733,9386,4185,3170,9019,14064,166566,174174,14272,6664
2007-07-10T00:00:00Z,183073,46965,110040,13151,15204,15166,70688,9518,5515,4611,7893,13147,169243,176483,13830,6590
2007-07-17T00:00:00Z,181451,45524,106914,13348,15242,15203,70124,9406,4385,4475,8530,13675,166733,173355,14718,8096
2007-07-24T00:00:00Z,182664,45327,107079,13413,14981,15565,69483,9510,4535,4372,8237,15515,168210,175422,14454,7242
2007-07-31T00:00:00Z,170943,47252,99021,13426,14706,17103,54558,6840,5225,4624,6610,15575,157763,165080,13180,5863
2007-08-07T00:00:00Z,153898,39921,84672,13753,13633,17774,48348,7437,3684,4500,6458,13343,141323,147000,12575,6898
2007-08-14T00:00:00Z,145705,38247,80793,13847,12086,16973,46548,11323,2286,5239,5796,10794,133935,140051,11770,5654
2007-08-21T00:00:00Z,143323,44837,77916,13897,12816,18014,34702,5836,3828,5475,7429,11135,131888,136974,11434,6349
2007-08-28T00:00:00Z,137552,45057,73833,15700,12423,16426,31469,7414,4375,3839,6849,10792,127658,132113,9894,5439
2007-09-04T00:00:00Z,133991,41341,70666,16254,11332,15600,31157,8082,5046,3580,6627,10865,123842,128217,10149,5774
2007-09-11T00:00:00Z,132036,38861,71349,16296,11071,14621,32440,7673,5157,3540,5633,10397,121310,125900,10726,6136
2007-09-18T00:00:00Z,132869,39693,75164,16356,11519,12548,34074,7142,4605,3421,5226,11155,121851,127358,11018,5510
2007-09-25T00:00:00Z,138930,40116,88204,15820,12212,9474,44445,3712,3773,3074,5405,11248,127950,134029,10980,4901
2007-10-02T00:00:00Z,144051,38699,94889,16053,11989,6574,49775,3464,3890,3669,5200,13469,132130,139475,11922,4576
2007-10-09T00:00:00Z,140354,40032,90867,16495,10645,7305,43684,3597,3674,4229,5616,14256,129677,135961,10677,4393
2007-10-16T00:00:00Z,143105,42064,90928,18405,10417,7756,41204,5122,3910,4336,4672,14175,131850,136980,11255,6125
2007-10-23T00:00:00Z,144154,41684,87899,18549,10288,8249,40548,6513,4054,4985,4750,15346,133416,137099,10738,7055
2007-10-30T00:00:00Z,147901,41775,90828,18462,11303,9371,44631,7034,5050,3642,4322,13959,136888,141866,11013,6035
2007-11-06T00:00:00Z,143592,37893,92299,16277,11248,7893,52170,6928,2927,3999,4649,11251,132410,137194,11182,6398
2007-11-13T00:00:00Z,138979,36932,92354,16991,10098,10268,51883,8899,1701,4887,4595,5361,128022,133274,10957,5705
2007-11-20T00:00:00Z,146017,37368,95428,17119,11475,10924,54393,9791,3702,6185,5028,5030,134720,141376,11297,4641
2007-11-27T00:00:00Z,145525,37631,94095,17392,13891,9245,53938,9453,4364,6018,5072,4974,133562,141094,11963,4430
2007-12-04T00:00:00Z,160507,37448,99903,19285,13633,10079,62057,13968,4788,6087,6024,6918,146661,155313,13846,5193
2007-12-11T00:00:00Z,172876,40392,104542,19614,15094,9611,70014,18689,5847,5925,6608,7058,158461,167449,14414,5427
2007-12-18T00:00:00Z,184057,42621,108593,18878,15387,9703,74147,19787,7937,6321,6586,10065,169672,178058,14385,5999
2007-12-24T00:00:00Z,191165,43852,109225,18584,17276,9326,76604,20654,10830,6932,6798,11329,177457,185437,13708,5728
2007-12-31T00:00:00Z,187731,40889,107241,19572,16895,10154,71664,17382,13041,7532,6393,11006,173858,182113,13872,5618
2008-01-08T00:00:00Z,196218,39307,113255,20521,15744,9855,76807,19440,14871,9242,7491,9940,180544,190596,15673,5622
2008-01-15T00:00:00Z,206777,41170,118997,20905,16732,8899,81065,20439,15833,10419,7309,11974,190265,200184,16512,6593
2008-01-22T00:00:00Z,204258,44501,117699,23345,16018,8669,70316,14652,16514,9831,6980,11843,185020,192375,19238,11882
2008-01-29T00:00:00Z,207450,45990,120177,23632,15623,9179,71561,16593,15520,10052,6661,14061,189994,197814,17456,9636
2008-02-05T00:00:00Z,200584,42309,119739,23877,15172,9742,80959,21972,11933,9207,5650,11564,189591,195772,10993,4812
2008-02-12T00:00:00Z,200937,39655,112877,23747,15264,9557,86039,24010,8667,6441,7120,10738,184843,188233,16094,12704
2008-02-19T00:00:00Z,192412,33604,111537,23293,12456,10320,84721,24934,7065,6765,6959,11553,177322,184823,15090,7589
2008-02-26T00:00:00Z,196887,35749,111684,26349,12663,10065,80835,24659,11065,5030,7480,12329,181422,189944,15465,6943
2008-03-04T00:00:00Z,198467,36919,110724,27304,12668,10132,75644,22451,14203,4976,7605,13766,182943,191548,15523,6919
2008-03-11T00:00:00Z,192730,36646,107048,27035,12903,10007,70466,20113,14853,5001,7213,12704,176711,184840,16020,7890
2008-03-18T00:00:00Z,187394,41149,103773,26794,12639,10633,60155,17295,15528,5056,6276,13109,172425,179254,14969,8140
2008-03-25T00:00:00Z,173702,43909,95451,24215,12606,11218,46733,10593,17086,2433,5045,13257,158851,165257,14851,8446
