Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
937584,135961,151909,83705,912728,253939,417461,158487,35287,46388,131418,137350,74269,70679,10757,111789,846968,833301,65760,79428,-1.707,-0.41,0.383
791519,129823,98980,74062,892506,233725,393218,177620,61890,48703,133366,99263,103675,28820,12737,79279,805188,798766,87318,93740,-1.887,0.02,0.493
1018956,170974,14779,85011,990462,259190,485035,149995,109417,89957,158972,14698,96813,19748,3113,131979,906653,931010,83810,59453,-1.203,1.113,0.9
1034854,129798,133265,38149,1030895,295682,571339,256395,42265,24217,130287,115589,37882,39247,16872,146582,930290,954745,100605,76149,-3.3,-0.06,0.05
950513,127689,9596,63757,936194,204960,363951,109473,113254,95058,127596,10253,64956,27054,3537,236197,865294,887207,70900,48988,4.58,0.693,2.007
929344,175970,12541,75020,877967,220112,458936,137888,67290,81055,152950,23307,66161,17956,3588,123948,800070,824285,77896,53682,4.31,1.55,0.613
910872,133845,180058,93728,950881,230584,344933,199021,14073,36545,140439,247484,125262,45107,21161,95695,872654,885154,78227,65727,-0.25,0.943,0.247
970800,124939,107546,43729,973398,324587,508926,180799,55297,35771,124433,104155,53073,31253,11998,129776,879692,898997,93706,74401,2.38,-0.54,0.007
951269,98977,46963,72392,954964,250302,435737,184014,46664,92422,99599,44884,68790,11940,15695,182001,889068,886192,65896,68772,0.573,0.363,0.923
888534,130350,105668,68727,882047,232323,394040,180986,63693,57913,127098,106711,71096,49464,8704,96969,815849,799126,66198,82921,-3.023,-0.017,-0.58
756391,62576,39546,35995,724881,234918,413642,136797,30047,16547,60853,32141,36250,33073,4259,129751,648190,662637,76691,62244,1.537,-0.23,-0.49
817174,112670,97578,66540,837868,281728,338534,132626,112228,32134,115559,97994,61203,36312,25032,105752,765315,772876,72553,64991,7.65,-0.303,0.667
1098899,151577,228256,130700,1044162,262659,427225,242547,38969,59457,151479,224661,119009,72889,20905,50692,958734,940919,85429,103243,-1.623,-0.32,-0.073
958093,127198,254776,99187,1028192,283762,392306,216467,23005,47192,126874,246371,105943,58812,26628,107330,946379,948775,81813,79417,2.76,-0.14,-0.387
1190475,154699,8962,100389,1340079,377211,544427,146850,167699,143999,158928,15138,110082,26558,10034,287862,1251490,1279241,88589,60838,-0.257,0.943,0.32
1094963,161580,245422,156250,1089026,254673,420145,201819,35331,50619,163145,229505,154344,83242,31044,96865,1004706,1017852,84320,71174,-5.403,-0.29,0.107
1079745,268948,7682,81487,1077483,200205,655008,145408,90427,30637,276735,8889,82893,85080,14213,154808,975767,1036876,101716,40607,-0.577,-0.173,-0.08
